epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5838.9,1.82775,3.60903,1.03933,0.02786,0.07571,0.03446,0.02331,1.8472,3.78883,0.98502,0.000234551,0.000234551,0.000234551
1,6280.23,1.82775,3.60903,1.03933,0.02784,0.08399,0.03652,0.02462,1.8472,3.78883,0.98502,0.000234551,0.000234551,0.000234551
2,10880.5,1.86885,2.45801,1.01783,0.04519,0.13525,0.06398,0.03474,1.77667,2.08412,0.99642,0.000425768,0.000425768,0.000425768
2,11181.4,1.86885,2.45801,1.01783,0.04606,0.12092,0.05921,0.03221,1.77667,2.08412,0.99642,0.000425768,0.000425768,0.000425768
3,16266,1.77532,1.95492,1.00035,0.1228,0.07126,0.05358,0.0285,1.65857,1.75097,0.9754,0.000569862,0.000569862,0.000569862
3,16464.4,1.77532,1.95492,1.00035,0.12101,0.0885,0.06282,0.03289,1.65857,1.75097,0.9754,0.000569862,0.000569862,0.000569862
4,21847.3,1.724,1.76945,0.99669,0.14999,0.11803,0.08352,0.04423,1.627,1.64276,0.97146,0.000501942,0.000501942,0.000501942
4,21973.2,1.724,1.76945,0.99669,0.13939,0.10887,0.07778,0.04101,1.627,1.64276,0.97146,0.000501942,0.000501942,0.000501942
5,26599.5,1.64467,1.66903,0.98155,0.13763,0.09465,0.07643,0.04178,1.56315,1.55638,0.96072,0.000431256,0.000431256,0.000431256
5,26906.6,1.64467,1.66903,0.98155,0.14269,0.09732,0.07853,0.04283,1.56315,1.55638,0.96072,0.000431256,0.000431256,0.000431256
6,31605.4,1.63361,1.61799,0.97233,0.14786,0.0864,0.07517,0.04063,1.54637,1.51699,0.95449,0.00036057,0.00036057,0.00036057
6,32757.5,1.63361,1.61799,0.97233,0.26,0.1133,0.09324,0.05025,1.54637,1.51699,0.95449,0.00036057,0.00036057,0.00036057
7,36906.5,1.60745,1.55829,0.96431,0.17372,0.10651,0.09226,0.0508,1.52052,1.48389,0.94698,0.000289884,0.000289884,0.000289884
7,37663.7,1.60745,1.55829,0.96431,0.17793,0.11378,0.09752,0.05362,1.52052,1.48389,0.94698,0.000289884,0.000289884,0.000289884
8,41302,1.57603,1.53177,0.95862,0.17713,0.10567,0.08979,0.04982,1.49674,1.4563,0.94175,0.000219198,0.000219198,0.000219198
8,42242.9,1.57603,1.53177,0.95862,0.18133,0.10744,0.0913,0.05093,1.49674,1.4563,0.94175,0.000219198,0.000219198,0.000219198
9,45730.6,1.55334,1.50993,0.95628,0.18617,0.09989,0.0882,0.04921,1.50335,1.44866,0.93868,0.000148512,0.000148512,0.000148512
9,47076.5,1.55334,1.50993,0.95628,0.18276,0.09941,0.08663,0.04816,1.50335,1.44866,0.93868,0.000148512,0.000148512,0.000148512
10,50180.8,1.5427,1.49339,0.95287,0.19712,0.12145,0.10363,0.05865,1.48065,1.41739,0.93889,7.7826e-05,7.7826e-05,7.7826e-05
10,49842.9,1.5427,1.49339,0.95287,0.20604,0.14022,0.1196,0.06674,1.48065,1.41739,0.93889,7.7826e-05,7.7826e-05,7.7826e-05
1,1169.54,1.833,3.75289,1.04461,0.02445,0.08066,0.03633,0.02344,1.80974,3.82267,0.9821,0.000234551,0.000234551,0.000234551
2,2218.47,1.95394,2.7147,1.02061,0.46752,0.06086,0.07629,0.04107,1.86038,2.6082,0.99859,0.000316609,0.000316609,0.000316609
3,2934.82,1.85472,2.266,1.00942,0.15269,0.09639,0.0935,0.05223,1.68312,2.05806,0.97848,0.000241587,0.000241587,0.000241587
