epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1306.49,1.833,3.75289,1.04461,0.0244,0.0788,0.03556,0.02294,1.80974,3.82267,0.9821,0.000234551,0.000234551,0.000234551
2,7638.96,1.95782,2.62282,1.02198,0.13096,0.06829,0.06814,0.03505,1.89769,2.40464,1.00915,0.000463194,0.000463194,0.000463194
3,13004.2,1.86101,2.06387,1.01746,0.11348,0.09378,0.0651,0.03462,1.68255,1.82711,0.98743,0.000682413,0.000682413,0.000682413
4,18926.1,1.7777,1.79727,0.99523,0.24603,0.10051,0.07158,0.03888,1.58313,1.65595,0.96715,0.000671588,0.000671588,0.000671588
5,24682.5,1.67575,1.63797,0.98072,0.24831,0.10518,0.08327,0.04478,1.58333,1.55969,0.96273,0.000657451,0.000657451,0.000657451
6,29669.6,1.66375,1.58459,0.97822,0.13643,0.11101,0.0876,0.04656,1.57522,1.52653,0.95269,0.000643314,0.000643314,0.000643314
7,35862.6,1.64735,1.5352,0.96715,0.17571,0.13854,0.10947,0.05854,1.53027,1.46379,0.94851,0.000629177,0.000629177,0.000629177
8,40923.8,1.63762,1.53632,0.9688,0.20034,0.14437,0.11408,0.06304,1.525,1.4355,0.94561,0.00061504,0.00061504,0.00061504
9,45875.7,1.66895,1.51736,0.96698,0.22529,0.1567,0.12643,0.06898,1.52108,1.42077,0.94477,0.000600902,0.000600902,0.000600902
10,50915.8,1.61136,1.48339,0.96348,0.20562,0.13306,0.1111,0.06168,1.4888,1.39055,0.94296,0.000586765,0.000586765,0.000586765
11,53182.8,1.60272,1.4433,0.96003,0.20781,0.14749,0.12474,0.07013,1.48646,1.39589,0.93548,0.000572628,0.000572628,0.000572628
12,53994.8,1.58541,1.43012,0.95999,0.26363,0.21282,0.17862,0.09865,1.4609,1.33835,0.93298,0.000558491,0.000558491,0.000558491
13,54706.9,1.62374,1.41493,0.95507,0.25341,0.22213,0.18402,0.10314,1.46061,1.31909,0.93208,0.000544354,0.000544354,0.000544354
14,55435.9,1.60303,1.39533,0.95358,0.25696,0.21183,0.18184,0.10108,1.49648,1.31948,0.93295,0.000530216,0.000530216,0.000530216
15,56124.6,1.57029,1.38215,0.95228,0.30824,0.23691,0.19875,0.114,1.43752,1.29495,0.92795,0.000516079,0.000516079,0.000516079
16,56828.8,1.54474,1.35374,0.94934,0.35966,0.23849,0.20744,0.11863,1.43442,1.27999,0.92537,0.000501942,0.000501942,0.000501942
17,57512.1,1.54671,1.335,0.94315,0.28939,0.23302,0.20051,0.11268,1.4602,1.27958,0.9266,0.000487805,0.000487805,0.000487805
18,58204.8,1.56107,1.34158,0.94581,0.31482,0.24015,0.20717,0.11872,1.40901,1.24421,0.92297,0.000473668,0.000473668,0.000473668
19,58897.8,1.54837,1.32356,0.94498,0.30846,0.24583,0.21475,0.12521,1.40861,1.23568,0.91963,0.00045953,0.00045953,0.00045953
20,59683.5,1.53627,1.30008,0.9361,0.32556,0.26658,0.2262,0.13132,1.39988,1.22799,0.9208,0.000445393,0.000445393,0.000445393
21,60386.5,1.51791,1.28735,0.93561,0.32732,0.26565,0.23119,0.13344,1.40125,1.20681,0.91809,0.000431256,0.000431256,0.000431256
22,61068,1.52556,1.2974,0.9411,0.32169,0.27402,0.2332,0.13463,1.40574,1.21131,0.92179,0.000417119,0.000417119,0.000417119
23,61759.7,1.51585,1.28253,0.93879,0.32576,0.26235,0.2366,0.13539,1.39347,1.21214,0.91604,0.000402982,0.000402982,0.000402982
24,62442.1,1.49729,1.27004,0.93464,0.34566,0.27313,0.24385,0.14233,1.38793,1.18453,0.91325,0.000388844,0.000388844,0.000388844
25,63158.7,1.49173,1.24182,0.92524,0.34365,0.27993,0.24962,0.14524,1.37277,1.17816,0.91357,0.000374707,0.000374707,0.000374707
26,63838.1,1.46887,1.24063,0.92865,0.35288,0.285,0.26251,0.15437,1.37748,1.15962,0.91193,0.00036057,0.00036057,0.00036057
27,64543.2,1.45951,1.21684,0.92638,0.3417,0.27038,0.25184,0.14868,1.38371,1.15907,0.91347,0.000346433,0.000346433,0.000346433
